university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
amrita-vishwa-vidyapeetham,Master of Laws (LL. M.),PG,Law,,Coimbatore,on-campus,open_to_international,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/ll-m/,,no,,llm,Amrita's international-admission page states all 200+ UG/PG programmes admit international (PIO/OCI/NRI/NRI-sponsored) students; per-programme intake and fee not individually re-verified in this pass.
amrita-vishwa-vidyapeetham,Diploma in Ayurveda Pharmacy,Diploma,Ayurveda,,Amritapuri,on-campus,unknown,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/diploma-in-ayurveda-pharmacy/,,no,,GAP:diploma-in-ayurveda-pharmacy,International-admission page covers UG/PG programmes explicitly; diploma/certificate international eligibility not confirmed. Regulator-scope note: Medicine/Dentistry/Pharmacy/Nursing/Ayurveda require international applicants to also sit an Amrita entrance exam per the international-admissions page (NMC/PCI/INC/CCIM scope applies).
amrita-vishwa-vidyapeetham,Diploma in Ayurveda Therapy,Diploma,Ayurveda,,Amritapuri,on-campus,unknown,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/diploma-in-ayurveda-therapy/,,no,,GAP:diploma-in-ayurveda-therapy,International-admission page covers UG/PG programmes explicitly; diploma/certificate international eligibility not confirmed. Regulator-scope note: Medicine/Dentistry/Pharmacy/Nursing/Ayurveda require international applicants to also sit an Amrita entrance exam per the international-admissions page (NMC/PCI/INC/CCIM scope applies).
amrita-vishwa-vidyapeetham,Diploma in Ayurveda Nursing,Diploma,Ayurveda,,Amritapuri,on-campus,unknown,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/diploma-in-ayurveda-nursing/,,no,,GAP:diploma-in-ayurveda-nursing,International-admission page covers UG/PG programmes explicitly; diploma/certificate international eligibility not confirmed. Regulator-scope note: Medicine/Dentistry/Pharmacy/Nursing/Ayurveda require international applicants to also sit an Amrita entrance exam per the international-admissions page (NMC/PCI/INC/CCIM scope applies).
amrita-vishwa-vidyapeetham,6-Week Short-Term Program: Discover India,Certificate,,,Amritapuri,on-campus,unknown,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/six-week-summer-program-discover-india/,,no,,GAP:6-week-short-term-program-discover-india,International-admission page covers UG/PG programmes explicitly; diploma/certificate international eligibility not confirmed.
amrita-vishwa-vidyapeetham,"Certificate Course on Integrated Capacity Building on Digital Agriculture: Crop Models, AI, IoT & Risk Mapping",Certificate,Interdisciplinary Studies,,Amritapuri,on-campus,unknown,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/certificate-course-on-digital-agriculture/,,no,,GAP:certificate-course-on-integrated-capacity-building-on-digita,International-admission page covers UG/PG programmes explicitly; diploma/certificate international eligibility not confirmed.
amrita-vishwa-vidyapeetham,M. Sc. Medical Physics,PG,Allied Health Sciences,,Faridabad;Kochi,on-campus,open_to_international,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/m-sc-medical-physics/,,no,,GAP:msc-physics,Amrita's international-admission page states all 200+ UG/PG programmes admit international (PIO/OCI/NRI/NRI-sponsored) students; per-programme intake and fee not individually re-verified in this pass.
amrita-vishwa-vidyapeetham,M.Sc. in Sustainability,PG,Sustainability,,Amritapuri,on-campus,open_to_international,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/msc-in-sustainability/,,no,,GAP:m-sc-in-sustainability,Amrita's international-admission page states all 200+ UG/PG programmes admit international (PIO/OCI/NRI/NRI-sponsored) students; per-programme intake and fee not individually re-verified in this pass.
amrita-vishwa-vidyapeetham,B.Sc. Psychology (Hons.),UG,Social and Behavioural Sciences,,Coimbatore;Nagercoil,on-campus,open_to_international,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/b-sc-psychology-hons/,,no,,bachelor-psychology,Amrita's international-admission page states all 200+ UG/PG programmes admit international (PIO/OCI/NRI/NRI-sponsored) students; per-programme intake and fee not individually re-verified in this pass.
amrita-vishwa-vidyapeetham,BBA (Honours) – Digital Marketing and Artificial Intelligence (Girls Only),UG,Artificial Intelligence,,Kochi,on-campus,open_to_international,https://www.amrita.edu/international-admission/,https://www.amrita.edu/program/bba-honours-digital-marketing-and-artificial-intelligence/,,no,,GAP:bba,Amrita's international-admission page states all 200+ UG/PG programmes admit international (PIO/OCI/NRI/NRI-sponsored) students; per-programme intake and fee not individually re-verified in this pass.
