university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
christ-university,Master of Business Administration (MBA),PG,management-commerce,1-2 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,yes,christ-mba,mba,Listed 5 times in official Course Index (likely distinct specialisation/campus tabs not separately labelled in scrape) — verify per-specialisation before publishing.
christ-university,Master of Business Administration (MBA) (Finance and International Business / Marketing and International Business),PG,management-commerce,1-2 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,no,,GAP:christ-master-of-business-administration-mba-finance-and-internatio,
christ-university,"Master of Business Administration (MBA) - CHRIST (Deemed to be University) + Master of Business Administration (THWS, Germany) (Bangalore Central Campus)",PG,management-commerce,1-2 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,no,,GAP:christ-master-of-business-administration-mba-christ-deemed-to-be-un,
christ-university,"Master of Business Administration (MBA)- CHRIST (Deemed to be University) + Master of Business Administration (Western Michigan University), USA (Bangalore Central Campus)",PG,management-commerce,1-2 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,no,,GAP:christ-master-of-business-administration-mba-christ-deemed-to-be-un,
christ-university,"Master of Business Administration (MBA)- CHRIST (Deemed to be University) + MS (Virginia Commonwealth University), USA (Bangalore Central Campus)",PG,management-commerce,1-2 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,no,,GAP:christ-master-of-business-administration-mba-christ-deemed-to-be-un,
christ-university,B.Tech Electronics and Communication Engineering in VLSI Design and Technology,UG,engineering,3-4 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,no,,GAP:christ-b-tech-electronics-and-communication-engineering-in-vlsi-des,
christ-university,B.Tech in Civil Engineering (With Applications in AI & ML),UG,engineering,3-4 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,no,,GAP:christ-b-tech-in-civil-engineering-with-applications-in-ai-ml,
christ-university,"BA (Economics, Political Science/Honours/Honours with Research)",UG,arts-sciences-other,3-4 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,no,,GAP:christ-ba-economics-political-science-honours-honours-with-research,
christ-university,"BA (Economics, Sociology/Honours/Honours with Research) (with minor in Political Science)",UG,arts-sciences-other,3-4 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,no,,GAP:christ-ba-economics-sociology-honours-honours-with-research-with-mi,
christ-university,BA (English with Creative Writing Honours/Honours with Research),UG,arts-sciences-other,3-4 years,Bengaluru (Central/Kengeri/Bannerghatta Rd/Yeshwanthpur) — campus not disambiguated by scrape,on-campus,open_to_international,https://christuniversity.in/center/C/IS/apply-tochrist,https://christuniversity.in/our-programmes/All/1,studyinindia,no,,GAP:christ-ba-english-with-creative-writing-honours-honours-with-resear,
