university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
flame-university,"Undergraduate Program: B.A., B.Sc., BBA and BBA (Communications Management), with optional four-year Honours",UG,liberal-arts,3-4 years,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug,studyinindia;shiksha;collegedunia;careers360,yes,flame-undergraduate-liberal-education,bachelor-liberal-arts,umbrella UG degree already published; majors/minors below are major_within rows
flame-university,Major in Economics,UG,social-sciences,major_within,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug/program-structure/major-minor-courses/economics,,no,,major_within:flame-undergraduate-liberal-education,
flame-university,Major in Applied Mathematics,UG,sciences,major_within,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug/program-structure/major-minor-courses/applied-mathematics,,no,,major_within:flame-undergraduate-liberal-education,
flame-university,Major in Psychology (B.A. Psychology),UG,social-sciences,major_within,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug/program-structure/major-minor-courses/ba-psychology,,no,,major_within:flame-undergraduate-liberal-education,site also lists a general "psychology" course page distinct from "ba-psychology"; verify if duplicate before publish
flame-university,Major in Business Analytics and AI,UG,business,major_within,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug/program-structure/major-minor-courses/business-analytics-and-ai,,no,,major_within:flame-undergraduate-liberal-education,
flame-university,Major in Computer Science,UG,engineering,major_within,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug/program-structure/major-minor-courses/computer-science,,no,,major_within:flame-undergraduate-liberal-education,
flame-university,Major in Computer Science and Design,UG,engineering,major_within,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug/program-structure/major-minor-courses/computer-science-and-design,,no,,major_within:flame-undergraduate-liberal-education,
flame-university,Major in Data Science and Economics,UG,sciences,major_within,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug/program-structure/major-minor-courses/data-science-and-economics,,no,,major_within:flame-undergraduate-liberal-education,
flame-university,Major in Design,UG,design,major_within,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug/program-structure/major-minor-courses/design,,no,,major_within:flame-undergraduate-liberal-education,distinct from the standalone B.Des degree
flame-university,Major in Digital Marketing and Communications,UG,business,major_within,Pune,on-campus,open_to_international,https://www.flame.edu.in/global-connect/study-abroad/for-international-students,https://www.flame.edu.in/academics/ug/program-structure/major-minor-courses/digital-marketing-and-communications,,no,,major_within:flame-undergraduate-liberal-education,
