university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
jss-academy-of-higher-education-and-research,"MBBS (Bachelor of Medicine, Bachelor of Surgery)",UG,Medicine,4.5 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssuni.edu.in/jssaher/medical-college/about-us.html,shiksha,no,,mbbs,NMC-regulated; NEET-UG based merit as stated in the international fee schedule
jss-academy-of-higher-education-and-research,Bachelor of Dental Surgery (BDS),UG,Dentistry,4 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssuni.edu.in/jssaher/dental-college/about-us.html,shiksha,no,,bds,"DCI/NEET-based; JSS AHER 2026 BDS fee notice separately lists all 100 seats as All India management seats with no NRI category per existing bundle payload thingsToConsider, so this row is a fee-schedule-vs-seat-matrix conflict that needs reconciling before publish"
jss-academy-of-higher-education-and-research,B.Sc Medical Laboratory Technology,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,yes,jss-aher-bsc-medical-laboratory-technology,bsc-medical-laboratory-science,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Medical Imaging Technology,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-medical-imaging-technology,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Anesthesia & Operation Theater Technology,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-anaesthesia-ot-technology,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Renal Dialysis Technology,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-renal-dialysis-technology,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Respiratory Therapy Technology,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-respiratory-therapy-technology,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Cardiac Care Technology,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-cardiac-care-technology,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Perfusion Technology,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-perfusion-technology,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Emergency Medicine Technology,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-emergency-medicine-technology,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Optometry,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:b-optom,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Forensic Science,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-forensic-science,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Physician Assistant,UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-physician-assistant,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,B.Sc Medical Genetics & Counselling (Hons),UG,Allied Health Sciences,3 years + 1 year internship,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,careers360,no,,GAP:bsc-medical-genetics-counselling,From 2026-27 Allied & Healthcare Education fee brochure and/or the international fee schedule
jss-academy-of-higher-education-and-research,Bachelor of Occupational Therapy (BOT),UG,Occupational Therapy,4 years + 1 year internship,Mysuru,full-time,open_to_international,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,https://jssaherstoragenew.blob.core.windows.net/jssuudstorage/webnotification/admission/A46_2264.pdf,,no,,bachelor-occupational-therapy,Listed alongside the allied-health B.Sc cluster in the 2026-27 fee brochure and the international fee schedule
jss-academy-of-higher-education-and-research,DORA - Dental Operating Room Assistant,Diploma,Dentistry,2 years,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssuni.edu.in/jssaher/dental-college/about-us.html,,no,,GAP:diploma-dental-operating-room-assistant,
jss-academy-of-higher-education-and-research,Dental Mechatronics,Diploma,Dentistry,1 year,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssuni.edu.in/jssaher/dental-college/about-us.html,,no,,GAP:diploma-dental-mechatronics,
jss-academy-of-higher-education-and-research,B.Sc Microbiology,UG,Life Sciences,3 years,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssuni.edu.in/jssaher/jssaher-about-us/about-us.html,,no,,GAP:bsc-microbiology,
jss-academy-of-higher-education-and-research,B.Sc Biotechnology,UG,Life Sciences,3 years,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssuni.edu.in/jssaher/jssaher-about-us/about-us.html,,no,,GAP:bsc-biotechnology,
jss-academy-of-higher-education-and-research,B.Sc Environmental Science,UG,Life Sciences,3 years,Mysuru,full-time,open_to_international,https://notopedia-uploads.s3.us-east-2.amazonaws.com/college_brochure/JSS%20Academy%20of%20Higher%20Education%20and%20Research/JSS%20Academy%20of%20Higher%20Education%20and%20Research%20-%20Fee%20for%20International%20-%20Students%20JSSAHER.pdf,https://jssuni.edu.in/jssaher/jssaher-about-us/about-us.html,,no,,GAP:bsc-environmental-science,
