university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
manipal-academy-of-higher-education,MPH Master Of Public Health,PG,Prasanna School of Public Health,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/psph/program-list/mph-master-of-public-health.html,,no,,mph,"Row derived from manipal.edu sitemap program-list URL (institute: Prasanna School of Public Health); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,MSC Library Science,PG,Dept of Library & Information Science,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/dlis/program-list/msc-library-science.html,,no,,GAP:msc-library-science,"Row derived from manipal.edu sitemap program-list URL (institute: Dept of Library & Information Science); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,BTECH Aeronautical Engineering,UG,Manipal Institute of Technology,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/mit/program-list/btech/btech-aeronautical-engineering.html,,no,,be-btech-aerospace-engineering,"Row derived from manipal.edu sitemap program-list URL (institute: Manipal Institute of Technology); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,BTECH Computer Science Engineering,UG,Manipal Institute of Technology,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/mit/program-list/btech/btech-computer-science-engineering.html,,yes,mahe-manipal-btech-computer-science-engineering,be-btech-computer-science-engineering,"Row derived from manipal.edu sitemap program-list URL (institute: Manipal Institute of Technology); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,Prosthetics And Orthotics,UG,School of Allied Health Sciences,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/soahs-manipal/program-list/Bachelor-in-Prosthetics-and-Orthotics.html,,no,,GAP:prosthetics-and-orthotics,"Row derived from manipal.edu sitemap program-list URL (institute: School of Allied Health Sciences); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,Dm Super Specialty Program,UG,Kasturba Medical College Manipal,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/kmc-manipal/program-list/dm-super-specialty-program.html,,no,,GAP:dm-super-specialty-program,"Row derived from manipal.edu sitemap program-list URL (institute: Kasturba Medical College Manipal); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,Maslp,PG,School of Allied Health Sciences,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/soahs-manipal/program-list/maslp11.html,,no,,GAP:maslp,"Row derived from manipal.edu sitemap program-list URL (institute: School of Allied Health Sciences); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,MBBS,PG,Manipal Tata Medical College,unknown (see official source),Jamshedpur,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/mtmc-jamshedpur/program-list/mbbs.html,,no,,mbbs,"Row derived from manipal.edu sitemap program-list URL (institute: Manipal Tata Medical College); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing. Medical/dental programme: international admission via NEET + DGHS/MCC and NOC from MHRD, per MAHE international admissions page."
manipal-academy-of-higher-education,MA Media And Communication,PG,School of Communication (MIC),unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/soc/program-list/ma-media-and-communication.html,,no,,master-media-communication,"Row derived from manipal.edu sitemap program-list URL (institute: School of Communication (MIC)); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,MSC Reproductive Genetics,PG,Kasturba Medical College Manipal,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/kmc-manipal/program-list/msc-reproductive-genetics.html,,no,,GAP:msc-reproductive-genetics,"Row derived from manipal.edu sitemap program-list URL (institute: Kasturba Medical College Manipal); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,BSC Mlt Bachelor Of Science In Medical Laboratory Technology,UG,School of Allied Health Sciences,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/soahs-manipal/program-list/bsc-mlt-bachelor-of-science-in-medical-laboratory-technology1.html,,no,,bsc-medical-laboratory-science,"Row derived from manipal.edu sitemap program-list URL (institute: School of Allied Health Sciences); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,LLM Programs,PG,MAHE (campus institute),unknown (see official source),Bengaluru,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/mu/campuses/mahe-bengaluru/academics/institution-list/mls/program-list/llm_programs.html,,no,,llm,"Row derived from manipal.edu sitemap program-list URL (institute: MAHE (campus institute)); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,Short Term,UG,Manipal College of Pharmaceutical Sciences,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/mcops-manipal/program-list/short-term1.html,,no,,GAP:short-term,"Row derived from manipal.edu sitemap program-list URL (institute: Manipal College of Pharmaceutical Sciences); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
manipal-academy-of-higher-education,Public Health,UG,Prasanna School of Public Health,unknown (see official source),Manipal,on_campus,open_to_international,https://www.manipal.edu/mu/admission/international-students/who-can-apply.html,https://www.manipal.edu/psph/program-list/Bachelor-of-public-health.html,,no,,GAP:public-health,"Row derived from manipal.edu sitemap program-list URL (institute: Prasanna School of Public Health); title/level auto-derived from URL slug, not individually fetched for duration/eligibility text -- verify on official_source_url before publishing."
