university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
marwadi-university,Computer Engineering,UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-computer-science-engineering,"Distinct branch title from ""Computer Science and Engineering"" on same fee sheet; mapped to closest canonical CSE family pending curriculum confirmation"
marwadi-university,Computer Science and Engineering,UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-computer-science-engineering,
marwadi-university,Computer Science and Engineering in Artificial Intelligence,UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-artificial-intelligence-machine-learning,AI specialization branch of CSE
marwadi-university,Computer Science and Engineering (Artificial Intelligence & Machine Learning),UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-artificial-intelligence-machine-learning,
marwadi-university,Computer Science and Engineering (Artificial Intelligence & Data Science),UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-data-science,Combined AI+Data Science specialization mapped to Data Science family
marwadi-university,Computer Science and Engineering with Cyber Security,UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-cyber-security,
marwadi-university,Information and Communication Technology Engineering,UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-information-technology,ICT Engineering mapped to IT family
marwadi-university,Electronics & Communication Engineering,UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-electronics-communication-engineering,
marwadi-university,Electronics & Communication Engineering (Artificial Intelligence & Machine Learning),UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-artificial-intelligence-machine-learning,ECE core with AI/ML specialization track
marwadi-university,Bioinformatics Engineering,UG,Engineering & Technology,4 Years,"Rajkot, Gujarat",on-campus,open_to_international,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/wp-content/uploads/2026/03/Fees-USD-Flyer_2026-27-2.pdf,https://www.marwadiuniversity.ac.in/international-admissions/,no,,be-btech-biotechnology,No canonical bioinformatics engineering family; distinct from biomedical engineering (devices vs computational biology) Taxonomy batch-3: former gap proposal be-btech-bioinformatics-engineering mapped to broader parent be-btech-biotechnology - Bioinformatics engineering is a computational branch of biotechnology engineering; new B.E./B.Tech Biotechnology parent.
