university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
sharda-university,Advance Certificate Of Proficiency English,Certificate,arts-humanities-social-sciences,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/advance-certificate-of-proficiency-english,https://www.sharda.ac.in/programmes/advance-certificate-of-proficiency-english,,no,,GAP:advance-certificate-of-proficiency-english,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
sharda-university,B Sc Hons Research Bio Chemistry With Minor In Forensic Science Serology,UG,sciences,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/b-sc-hons-research-bio-chemistry-with-minor-in-forensic-science-serology,https://www.sharda.ac.in/programmes/b-sc-hons-research-bio-chemistry-with-minor-in-forensic-science-serology,,no,,bsc-chemistry,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
sharda-university,B Sc Hons Research Chemistry With Minor In Data Analytics Machine Learning Entrepreneurship,UG,computing-it,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/b-sc-hons-research-chemistry-with-minor-in-data-analytics-machine-learning-entrepreneurship,https://www.sharda.ac.in/programmes/b-sc-hons-research-chemistry-with-minor-in-data-analytics-machine-learning-entrepreneurship,,no,,bsc-chemistry,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
sharda-university,B Tech Biotechnology Fermentation Technology,UG,computing-it,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/b-tech-biotechnology-fermentation-technology,https://www.sharda.ac.in/programmes/b-tech-biotechnology-fermentation-technology,,no,,GAP:b-tech-biotechnology-fermentation-technology,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
sharda-university,B Tech Bt Computational Biology,UG,other,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/b-tech-bt-computational-biology,https://www.sharda.ac.in/programmes/b-tech-bt-computational-biology,,no,,GAP:b-tech-bt-computational-biology,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
sharda-university,B Tech ECE With Specialization In Robotics And Automation,UG,computing-it,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/b-tech-ece-with-specialization-in-robotics-and-automation,https://www.sharda.ac.in/programmes/b-tech-ece-with-specialization-in-robotics-and-automation,,no,,be-btech-robotics-automation-engineering,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
sharda-university,B Tech Eee With Specialization In Renewable Energy Systems,UG,other,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/b-tech-eee-with-specialization-in-renewable-energy-systems,https://www.sharda.ac.in/programmes/b-tech-eee-with-specialization-in-renewable-energy-systems,,no,,GAP:b-tech-eee-with-specialization-in-renewable-energy-systems,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
sharda-university,B.A. Animation VFX Gaming Design Hons With Research,UG,design-creative-arts,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/ba-animation-vfx-gaming-design-hons-with-research,https://www.sharda.ac.in/programmes/ba-animation-vfx-gaming-design-hons-with-research,,no,,bachelor-animation-game-design,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
sharda-university,B.A. Applied Economics,UG,business-management,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/ba-applied-economics,https://www.sharda.ac.in/programmes/ba-applied-economics,,no,,bachelor-economics,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
sharda-university,B.A. Economics Hons With Research,UG,computing-it,,Greater Noida,on-campus,open_to_international,https://www.sharda.ac.in/programmes/ba-economics-hons-with-research,https://www.sharda.ac.in/programmes/ba-economics-hons-with-research,,no,,bachelor-economics,"Every sharda.ac.in/programmes/* page carries a dedicated ""For International Students"" fee cell (spot-verified on mbbs, md-general-medicine, bsc-nursing, llm-corporate-law and executive-mba pages plus the 7 already-published rows); individual per-programme fee/eligibility figures were not re-extracted in this pass"
