university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
shiv-nadar-institution-of-eminence,B.Tech. Computer Science and Engineering,UG,engineering,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snu.edu.in/programs/btech-in-computer-science-engineering/overview/,studyinindia;shiksha;collegedunia;careers360,yes,snu-btech-computer-science-engineering,be-btech-computer-science-engineering,already published with USD fee data
shiv-nadar-institution-of-eminence,B.Tech. Mechanical Engineering,UG,engineering,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snu.edu.in/programs/btech-in-mechanical-engineering/overview/,studyinindia;shiksha;collegedunia;careers360,yes,snu-btech-mechanical-engineering,be-btech-mechanical-engineering,
shiv-nadar-institution-of-eminence,B.Tech. Civil Engineering,UG,engineering,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snu.edu.in/programs/btech-in-civil-engineering/overview/,studyinindia;shiksha;collegedunia;careers360,yes,snu-btech-civil-engineering,be-btech-civil-engineering,
shiv-nadar-institution-of-eminence,B.Tech. Chemical Engineering,UG,engineering,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snu.edu.in/programs/btech-in-chemical-engineering/overview/,studyinindia;shiksha;collegedunia;careers360,yes,snu-btech-chemical-engineering,be-btech-chemical-engineering,
shiv-nadar-institution-of-eminence,B.Tech. Chemical Engineering with specialisation in Bioenergy and Biomaterials,UG,engineering,4 years,Delhi NCR (Greater Noida),on-campus,unknown,,https://snu.edu.in/programs/b-tech-in-chemical-engineering-with-specialisation-in-bioenergy-and-biomaterials/overview/,,no,,be-btech-chemical-engineering,specialisation track of chemical engineering; separate admission page but same base canonical course
shiv-nadar-institution-of-eminence,B.Tech. Chemical Engineering with specialisation in Modelling and Simulation,UG,engineering,4 years,Delhi NCR (Greater Noida),on-campus,unknown,,https://snu.edu.in/programs/b-tech-in-chemical-engineering-with-specialisation-in-modelling-and-simulation/overview/,,no,,be-btech-chemical-engineering,specialisation track of chemical engineering; separate admission page but same base canonical course
shiv-nadar-institution-of-eminence,B.Tech. Electrical and Computer Engineering,UG,engineering,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snu.edu.in/programs/btech-in-electrical-and-computer-engineering/overview/,studyinindia;shiksha;collegedunia;careers360,no,,GAP:be-btech-electrical-computer-engineering,"closest canonical is be-btech-electrical-electronics-engineering but SNU's own combined ECE degree differs; recommend new canonical or confirm mapping"
shiv-nadar-institution-of-eminence,B.Sc. (Research) Economics,UG,social-sciences,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snu.edu.in/programs/bsc-research-in-economics/overview/,studyinindia;shiksha;collegedunia;careers360,yes,snu-bsc-research-economics,bachelor-economics,
shiv-nadar-institution-of-eminence,B.Sc. (Research) Economics and Finance,UG,social-sciences,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snuadmissions.com/bsc_economics_finance.php,shiksha;collegedunia,no,,GAP:bsc-research-economics-finance,distinct admission track from plain BSc Research Economics
shiv-nadar-institution-of-eminence,B.A. (Research) International Relations,UG,social-sciences,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snu.edu.in/programs/ba-research-in-international-relations/overview/,studyinindia;shiksha;collegedunia;careers360,yes,snu-ba-research-international-relations,bachelor-international-relations,
shiv-nadar-institution-of-eminence,Bachelor of Design (B.Des.),UG,design,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snu.edu.in/programs/bachelor-of-design/overview/,studyinindia;shiksha;collegedunia;careers360,yes,snu-bachelor-of-design,bdes,
shiv-nadar-institution-of-eminence,B.Sc. (Research) Mathematics,UG,sciences,4 years,Delhi NCR (Greater Noida),on-campus,open_to_international,https://snuadmissions.com/International/,https://snu.edu.in/programs/bsc-research-in-mathematics/overview/,studyinindia;shiksha;collegedunia;careers360,yes,snu-bsc-research-mathematics,bsc-mathematics,
