university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
sri-ramachandra-institute-of-higher-education-and-research,BBA hospital and health systems management,UG,Business/Healthcare Management,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-b-a-hospital-and-health-systems-management/,,no,,GAP:b-b-a-hospital-and-health-systems-management,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Com. (Hons.),UG,Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-com-hons/,,no,,GAP:b-com-hons,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Optom.,UG,Optometry,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-optom/,,no,,GAP:b-optom,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. applied psychology,UG,Psychology,3 years,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-applied-psychology/,,yes,sriher-chennai-bsc-applied-psychology,bachelor-psychology,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. bioinformatics,UG,Computing/Data Science,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-bioinformatics/,,no,,GAP:b-sc-bioinformatics,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. clinical nutrition,UG,Public Health/Nutrition,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-clinical-nutrition/,,no,,GAP:b-sc-clinical-nutrition,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. computer scienceartificial intelligence and data analytics,UG,Computing/Data Science,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-computer-scienceartificial-intelligence-and-data-analytics/,,no,,GAP:b-sc-computer-scienceartificial-intelligence-and-data-analytics,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. data science,UG,Computing/Data Science,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-data-science/,,no,,GAP:b-sc-data-science,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. health information management,UG,Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-health-information-management/,,no,,GAP:b-sc-health-information-management,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) allied health sciences medical microbiology and applied molecular biology,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-allied-health-sciences-medical-microbiology-and-applied-molecular-biology-degree-program/,,no,,GAP:b-sc-hons-allied-health-sciences-medical-microbiology-and-applied-molecular-biology-degree-program,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
sri-ramachandra-institute-of-higher-education-and-research,B.Sc. (Hons.) allied health sciences,UG,Allied Health Sciences,,Chennai (Porur),full-time,open_to_international,https://media.sriramachandra.edu/ms/storage/2026/04/PROSPECTUS_Foreign-Nationals-Admissions-18_April_2026-compressed.pdf,https://sriramachandra.edu/programme/b-sc-hons-allied-health-sciences/,,no,,GAP:b-sc-hons-allied-health-sciences,UG FN prospectus is described as covering programmes 'excluding Medical & Dental'; individual programme-level confirmation for this specific title was not fetched in this pass.
