university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
srm-institute-of-science-and-technology,B.S. Biotechnology,UG,sciences,4 Years,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/best-bs-biotechnology-colleges-in-chennai/,,no,,GAP:srm-ktr-b-s-biotechnology,Sanctioned intake: 30
srm-institute-of-science-and-technology,MPH - Applied Health Research,PG,public-health,2 Years,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/mph-applied-health-research/,,no,,GAP:srm-ktr-mph-applied-health-research,Sanctioned intake: 10
srm-institute-of-science-and-technology,MPH - Master of Public Health,PG,public-health,2 Years,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/master-of-public-health-mph/,,no,,GAP:srm-ktr-mph-master-of-public-health,Sanctioned intake: 40
srm-institute-of-science-and-technology,M.Sc. Biostatistics and Epidemiology,PG,public-health,2 Years,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/msc-biostatistics-and-epidemiology/,,no,,GAP:srm-ktr-m-sc-biostatistics-and-epidemiology,Sanctioned intake: 15
srm-institute-of-science-and-technology,MPH (Integrated) – Public Health,Integrated,public-health,5 Years,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/integrated-master-of-public-health/,,no,,GAP:srm-ktr-mph-integrated-public-health,Sanctioned intake: 20
srm-institute-of-science-and-technology,MBBS Bachelor of Medicine and Bachelor of Surgery,UG,medicine-dentistry,4.5 Years + 1 Year Internship,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/mbbs-bachelor-of-medicine-and-bachelor-of-surgery/,,no,,GAP:srm-ktr-mbbs-bachelor-of-medicine-and-bachelor-of-surgery,"NMC/regulator-governed programme (MBBS/BDS-type); international/NRI seats and intake are regulator-capped, verify current NMC quota before publishing. Sanctioned intake: 250  (Including 3 NRI)"
srm-institute-of-science-and-technology,LL.M. International Trade Law & IPR,UG,law,1 Year,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/l-l-m-international-trade-law/,,no,,GAP:srm-ktr-ll-m-international-trade-law-ipr,Sanctioned intake: 40
srm-institute-of-science-and-technology,LL.M. Cyber Law and Security,UG,law,2 Years,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/llm-cyber-law-and-security/,,no,,GAP:srm-ktr-ll-m-cyber-law-and-security,Sanctioned intake: 40
srm-institute-of-science-and-technology,LL.M. Criminal Law and Criminal Justice,UG,law,1 year,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/llm-criminal-law-and-criminal-justice/,,no,,GAP:srm-ktr-ll-m-criminal-law-and-criminal-justice,Sanctioned intake: 40
srm-institute-of-science-and-technology,LL.M. Corporate Law,UG,law,2 Years,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/llm-corporate-law/,,no,,GAP:srm-ktr-ll-m-corporate-law,Sanctioned intake: 40
srm-institute-of-science-and-technology,M.Sc. Health Data Science,PG,public-health,2 Years,"Kattankulathur (KTR), Chennai",on-campus,open_to_international,https://www.srmist.edu.in/admission-international/,https://www.srmist.edu.in/program/m-sc-health-data-science/,,no,,GAP:srm-ktr-m-sc-health-data-science,Sanctioned intake: 10
