university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
vellore-institute-of-technology,B.Tech - Biotechnology,UG,biotechnology,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,GAP:b-tech-biotechnology,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Chemical Engineering,UG,chemical-engineering,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,be-btech-chemical-engineering,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Civil Engineering,UG,civil-engineering,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,yes,vit-vellore-btech-civil-engineering,be-btech-civil-engineering,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Civil Engineering (in Collaboration with L&T),UG,civil-engineering,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,be-btech-civil-engineering,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Computer Science and Engineering,UG,computer-science-engineering,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,yes,vit-vellore-btech-computer-science-engineering,be-btech-computer-science-engineering,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Computer Science and Engineering (Artificial Intelligence and Machine Learning),UG,artificial-intelligence-machine-learning,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,be-btech-artificial-intelligence-machine-learning,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Computer Science and Engineering (Artificial Intelligence and Data Engineering),UG,computer-science-engineering,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,GAP:b-tech-computer-science-and-engineering-artificial-intellige,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Computer Science and Engineering (Bioinformatics),UG,computer-science-engineering,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,GAP:b-tech-computer-science-and-engineering-bioinformatics,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Computer Science and Engineering and Business Systems (in collaboration with TCS),UG,computer-science-engineering,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,GAP:b-tech-computer-science-and-engineering-and-business-systems,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Computer Science and Engineering (Cyber Security),UG,computer-science-engineering,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,GAP:b-tech-computer-science-and-engineering-cyber-security,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Computer Science and Engineering (Data Science),UG,data-science,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,msc-data-science,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
vellore-institute-of-technology,B.Tech - Electrical and Electronics Engineering,UG,electrical-electronics-engineering,4 years,Vellore,on_campus,open_to_international,https://vit.ac.in/admissions/international/overview/,https://vit.ac.in/engineering-programmes-vellore-campus,,no,,be-btech-electrical-electronics-engineering,Confirmed on VIT official programme page for Vellore campus (https://vit.ac.in/engineering-programmes-vellore-campus). Admission via VITEEE/VITMEE/VITBEE/VITLEE/B.Des-B.Arch route; NRI/Foreign application route runs alongside domestic counselling.
