university_slug,programme_official_title,level,discipline,duration,campus,delivery_mode,intl_status,intl_evidence_url,official_source_url,other_sources,already_on_site,existing_offering_slug,canonical_course_match,notes
world-university-of-design,B.Arch - Architecture,UG,Architecture,5 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/b-arch-architecture.php,shiksha;collegedunia;careers360,yes,wud-barch,barch,"COA-approved for 2026-27 intake 40; NATA/JEE Paper 2 required"
world-university-of-design,B.Des - Fashion Design,UG,Design,4 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/b-des-fashion-design.php,shiksha;collegedunia;careers360,yes,wud-bdes-fashion-design,bachelor-fashion-design,
world-university-of-design,B.Des - Product Design,UG,Design,4 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/bdes-product-design.php,shiksha;collegedunia;careers360,yes,wud-bdes-product-design,bdes,
world-university-of-design,B.Des - Animation & Game Design,UG,Design,4 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/bdes-animation-game-design.php,shiksha;collegedunia;careers360,yes,wud-bdes-animation-game-design,bachelor-animation-game-design,
world-university-of-design,BVA (earlier called BFA) - Creative Painting,UG,Design/Fine Arts,4 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/bva-creative-painting.php,shiksha;collegedunia;careers360,yes,wud-bva-creative-painting,bfa,
world-university-of-design,M.Des - Industrial Design (also marketed Product Innovation & Intelligent Systems),PG,Design,2 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/mdes-industrial-design.php,shiksha;collegedunia;careers360,yes,wud-mdes-industrial-design,mdes,
world-university-of-design,M.Des - Fashion Design (also marketed Sustainable & Digital Fashion Futures),PG,Design,2 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/mdes-digital-fashion.php,shiksha;collegedunia;careers360,yes,wud-mdes-fashion-design,master-fashion-design,
world-university-of-design,M.Des - Game Design & Development (also marketed Game Design XR & Immersive Storytelling),PG,Design,2 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/mdes-game-design.php,shiksha;collegedunia;careers360,yes,wud-mdes-game-design,master-animation-game-design,
world-university-of-design,MVA (earlier called MFA) - Contemporary Art Practices,PG,Fine Arts,2 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/mva-contemporary-art-practice.php,shiksha;collegedunia;careers360,yes,wud-mva-contemporary-art-practice,mfa,
world-university-of-design,MBA - Design Strategy & Management,PG,Business,2 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/mba.php,shiksha;collegedunia;careers360,yes,wud-mba-design-strategy-management,mba,"Page also markets MBA - DA/AI & Design Thinking; MBA - Design Strategy & Innovation; MBA - Service Design as majors within the same programme page, not treated as separate rows"
world-university-of-design,B.Des - Fashion Communication,UG,Design,4 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/b-des-fashion-communication.php,shiksha;collegedunia;careers360,no,,GAP:bdes-fashion-communication,"Distinct specialisation from Fashion Design; not currently published"
world-university-of-design,B.Des - Textile Design,UG,Design,4 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/b-des-textile-design.php,shiksha;collegedunia;careers360,no,,GAP:bdes-textile-design,
world-university-of-design,BBA - Design Strategy & Management,UG,Business,3 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/bba.php,shiksha;collegedunia;careers360,no,,GAP:bba-design-strategy-management,"Same page also markets BBA - Fashion Business Management as a major; treated as one BBA offering"
world-university-of-design,B.Des - UX & Digital Product Design,UG,Design,4 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/bdes-computer-science-design.php,shiksha;collegedunia;careers360,no,,GAP:bdes-ux-digital-product-design,
world-university-of-design,B.Des - Film & Video,UG,Design/Media,4 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/bdes-film-video.php,shiksha;collegedunia;careers360,no,,bachelor-film-television,"Closest canonical is bachelor-film-television though this is a B.Des not a straight BA Film/TV degree"
world-university-of-design,B.Des - Graphic Communication Design,UG,Design,4 years,Sonipat,full-time,open_to_international,https://www.wud.ac.in/international-admissions.php,https://www.wud.ac.in/bdes_mdes-graphic-communication-design.php,shiksha;collegedunia;careers360,no,,GAP:bdes-graphic-communication-design,
